No.,Page,Source PDF,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Difficulty,Has Image,Image Reference,Status,Notes
778,9,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,Alin and tamang babala sa pagtatapon ng basura?,"Gamitin and basurahan sa inyong bahay, huwag dito",Dito and tambakan ng basura,Huwag mag-tapon ng basura dito,Huwag mag-ipon ng basura dito,,C,,Both,General Education,Cannot Determine,No,,Duplicate,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key. Duplicate or near-duplicate of the earlier LET extraction batch.
779,9,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,166. Which is the MOST important perceived need and problem of the Filipino family?,Unemployment or financial problem,Proneness to vices,Over protectiveness of children,Double standard on the roles of male and female,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key.
780,9,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,Which of the following statements about living things is false?,All living things use energy to function.,All living things are composed of cells.,All living things have a nervous system.,All living things are capable of reproduction.,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key.
781,9,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,"Robert Frost wrote the poem ""Acquainted with the Night"" from which the stanza is taken: I have been one acquainted with the night. I have walked out in rain-back in rain. I have out walked the farthest city light The poet in the stanza talks of",isolation and loneliness.,happiness in having been acquainted with the night.,joy getting out of the house.,youthful delight playing in the rain.,,A,,Both,General Education,Cannot Determine,No,,Duplicate,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key. Duplicate or near-duplicate of the earlier LET extraction batch.
782,9,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,What form of government is characterized by the separation of powers?,Parliamentary,Presidential,Aristocracy,Monarchical,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key.
783,9,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,Which is the BEST evidence that helium gas is lighter than air?,Helium has the lowest boiling point of all elements.,Helium atoms do not combine with other air atoms.,Helium-filled balloons rise in air.,"By volume, helium makes up only 0.0005% of air.",,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key.
784,9,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,I _____ get up at six o'clock this morning with much difficulty.,could,managed to,can,,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key.
785,9,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,"One package is 100 pounds, and the other is 150 pounds. The weight of the second package is how many times that of the first?",1½ times heavier,½ as heavy,none of these,10 pounds heavier,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key.
786,9,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,Excursions are encouraged to allow participants to see places. All the 400 personnel fell ill. Doctors’ laboratory findings traced the cause to _____.,congestion on the bus,food poisoning,excitement,excessive fat,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key.
787,9,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,Which of the following facts support the Big Bang theory's explanation of the creation of the universe?,The universe does not expand nor contract.,The universe seldom expand.,The universe will have background radiation.,he universe has no beginning nor end.,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key.
788,9,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,"In a university, the ratio of female professors to the male professors is 8:5. If there are 75 male professors, how many are female professors?",was breaking - played,broke - was playing,breaks - is playing,375/8 144. He_____ his leg while he _____ rugby.,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key.
789,9,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,"Someone wrote: ""Environment relates to the profound relationship between matter, nature, and society, and in such a context, ICTs bring new ways of living in a more interconnected society, all of which reduces our dependency on matter and affects our relationship with nature."" What does this convey?",Environment and ICT are poles apart.,ICT impacts on environment.,Environment affects ICT.,ICT brings us away from an interconnected society.,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key.
790,9,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,mantle,the thickest layer of the Earth,a process where one plate is forced under another,the blanket of air surrounding the Earth,describes how different types of rocks are formed,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key.
791,9,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,"""Heto na, heto na, heto na, /wahh! Doo bidoo bidoo, bidoo, bidoo."" Alin ang nabuong salita o tunog sa linya na nabuo ayon sa teoryang pooh-pooh?",wahh,heto,na,doo bidoo,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key.
792,10,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,A town that is located ______ is a location that should have most nearly twelve hours of daylight and twelve hours of darkness during December.,halfway between the Equator and the South Pole,close to the Equator,close to the North Pole,close to the South Pole,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key.
793,10,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,And now for this evening’s main headline: Britain _____ another Olympic gold medal!,had won,wins,won,has won,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key.
794,10,Part 1 General Education 150 QUESTIONS With ANSWERS.pdf,Charity begins at home. What illustrates this value?,Millionaires send checks anonymously,Patrons check out donations by the size of the advertisement,Grandparents stay with the Home for the Aged. They are nuisance to modern families,An ambassador in Jeddah shelters battered Filipino OCW’s and avoid social gatherings to be able to save food for these refugees Part 1 General Education 150 Items,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 1 with trailing answer key. Correct answer sourced from trailing answer key.
795,1,PART 3 GENERAL EDUCATION (100 Items).pdf,"In one of his poems, the Filipino author Zulueta da Costa said that the Filipinos are like the Molave. What figure of speech was used?",simile,personification,metaphor,hyperbole,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
796,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Helen of Troy is the face who launched a thousand ships .What figure of speech is used in the given sentence?,ellipsis,synecdoche,alliteration,irony,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
797,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Si Ana at Ariadne ay masisipag na mag-aaral. Ano ang mali sa pangungusap?,Si,at,masisipag,mag-aaral,Walang mali,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
798,1,PART 3 GENERAL EDUCATION (100 Items).pdf,________ mo ng mga damit ang iyong kapatid sa dormitory.,Dalhin,Dalahin,Dalhan,Dadalahin,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
799,1,PART 3 GENERAL EDUCATION (100 Items).pdf,"________ sa batas, hindi maaaring isakdal ng dalawang beses ang isang akusado para sa iisang pagkakasala.",Maliban,Ayon *,Ayon kay,Marahil,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
800,1,PART 3 GENERAL EDUCATION (100 Items).pdf,nawalang-malay : hinimatay : : naghihingalo : ______,nasa bingit ng kamatayan*,namatay,napagod,nahihilo,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
801,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Isahan : gaano : : _______,maramihan : gaa-gaano,maramihan : gaanu ano,maramihan : gaga-gaano,maramihan : ganu ano,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
802,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Masalimuot ang buhay ng taong kapit sa patalim.,malungkot,masaya,magulo,mapayapa,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
803,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Naglipana sa lansangan ang masamang-loob lalo na kung gabi.,namasyal,nagkalat,nagtatago,nagmuni muni,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
804,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Siya ang “Ama ng Zarsuelang Tagalog”?,Aurelio Tolentino,N.V.M Gonzalez,Alejandro Abadilla,Severino Reyes,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
805,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Alin sa mga sumusunod ang HINDI epiko ng Mindanao?,Indarapatra at Sulayman,Alim,Bidasari,Bantugan,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
806,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Ang titik “ng” sa Alpabetong Filipino ay nagmula sa alpabetong _____.,Ingles,Abecedario,Romano,Abakada,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
807,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Ilang titik ang hiniram ng Alpabetong Filipino mula sa Alpabetong Ingles?,palma,basta,pluma,basket,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
808,1,PART 3 GENERAL EDUCATION (100 Items).pdf,”Ang aking pag-ibig ay tanging sa iyo lamang .” Ibigay ang ayos ng pangungusap na ito.,payak,tambalan,karaniwan,di karaniwan,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
809,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Aling Salita ang may diptonggo?,buwis,bayan,buhay,iwas,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
810,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Ang epiko tungkol sa kasaysayan ng pag iibigan ng mga bathala na nagmula sa Iloilo ay ang ______ .,Hinilawod,Biag-ni- Lam-ang,Bidasari,Maragtas,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
811,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Anong teorya ng wika ang nagsasabing ang wika ay nailikha bunga ng masidhing damdamin ng tao?,Bow-wow,Pooh-pooh,Ding-dong,Yoheho,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
812,1,PART 3 GENERAL EDUCATION (100 Items).pdf,”Natutulog ba ang Diyos?” Ang pahayag sa itaas ay halimbawa ng anong uri ng tayutay?,Pagdaramdam,Tanong Retorikal,Pagtanggi,Pagsalungat,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
813,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Ano ang nagging pangalan ng wikang pambansa noong 1959?,Pilipino,Filipino,Tagalog,Wikang Pambansa,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
814,1,PART 3 GENERAL EDUCATION (100 Items).pdf,The captain of the pep squad are working feverishly to boost the team`s morale. No error.,pep-squad b .are,,to boost,team`s morale .,No error,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
815,1,PART 3 GENERAL EDUCATION (100 Items).pdf,The teachers as well as the guidance counselor is accompanying the students on a field trip. No error.,teachers,guidance counselor,is accompanying,on a field trip,No error,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
816,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Simba and Nala is my favorite characters in The Lion King. No error.,and,is,The Lion King,No error,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
817,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Tne committee are meeting on Friday to discuss the details of the charaity ball. No error.,are meeting,on Friday,to discuss,charity ball,No error,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
818,1,PART 3 GENERAL EDUCATION (100 Items).pdf,"Mumps, which are a dangerous disease, can be prevented through vaccination . No error.",Mumps,are,disease,vaccination,No error,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
819,1,PART 3 GENERAL EDUCATION (100 Items).pdf,The student leaders ______ surveys to determine the students` need since last week.,has conducted,have conducted,has conducting,have been conducting,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
820,1,PART 3 GENERAL EDUCATION (100 Items).pdf,The President _______ the bill on Children`s Right last Monday.,vetoes,vetos,vetoed,vetoid,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
821,1,PART 3 GENERAL EDUCATION (100 Items).pdf,The Committee on Ethics ____ every Friday.,meets,meet,has met,have met,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
822,1,PART 3 GENERAL EDUCATION (100 Items).pdf,"It is estimated that in the present century, there ______ about 954 million illiterate adults.",is,are,was,were,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
823,1,PART 3 GENERAL EDUCATION (100 Items).pdf,"In 1960, 58% of illiterates ______ women; the corresponding figure today is more than 60%.",is,are,was,were,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
824,1,PART 3 GENERAL EDUCATION (100 Items).pdf,The warm humid air irritated he.,irritated he.,irritated him. c .irritation him.,,irritating him.,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
825,1,PART 3 GENERAL EDUCATION (100 Items).pdf,Keep on reading and you will learn more.,Keep on reading,Keep to read,Keep on read,Keeping on reading,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
826,2,PART 3 GENERAL EDUCATION (100 Items).pdf,"Even though Mariel studied hard, she got the highest mark.",Even though Mariel studied hard,But Mariel hard,Because Mariel studied hard,While Mariel studied hard,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
827,2,PART 3 GENERAL EDUCATION (100 Items).pdf,The Carlos Palanca Memorial Award for Literature were given to different literary pieces that excel in their respective genres.,were given to different literary pieces,is given by different literary pieces,are given at different literary pieces,is given to different literary pieces,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
828,2,PART 3 GENERAL EDUCATION (100 Items).pdf,We hike Mt.Apo half an hour.,half an hour.,for half an hour.,at half an hour.,by half an hour.,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
829,2,PART 3 GENERAL EDUCATION (100 Items).pdf,Kmono: ______ :: kilt : Scandinavian,Indian,Indonesian,Chinese,Japanese,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
830,2,PART 3 GENERAL EDUCATION (100 Items).pdf,king of beats : lion :: king of birds : _______,robin,sparrow,eagle,falcon,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
831,2,PART 3 GENERAL EDUCATION (100 Items).pdf,Jewish : kosher : : halal,Muslim,Buddhist,Christian,Pagans,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
832,2,PART 3 GENERAL EDUCATION (100 Items).pdf,Catholic : priest : : Buddhist : ______,Imam,rabbi,lama,pope,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
833,2,PART 3 GENERAL EDUCATION (100 Items).pdf,laity : lay people : : clergy : ______,clergymen,clerics,clergy,clerks,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
834,2,PART 3 GENERAL EDUCATION (100 Items).pdf,Ano ang tamang ispeling ng salitang barbershop sa Filipino?,barbersyap,barbershop,barbershap,barbersiyap,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
835,2,PART 3 GENERAL EDUCATION (100 Items).pdf,” Ikaw ang aking mahal.” Ibigay ang ayos ng pangungusap na ito .,payak,tambalan,karaniwan,di karaniwan,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
836,2,PART 3 GENERAL EDUCATION (100 Items).pdf,Alin sa mga sumusunod ang HINDI tulang pasalaysay?,Moro-moro,Epiko,Awit,korido,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
837,2,PART 3 GENERAL EDUCATION (100 Items).pdf,Alin sa mga sumusunod ang HINDI epiko ng Bisaya?,Lagda,Maragtas,Bidasari,Hinilawod,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
838,2,PART 3 GENERAL EDUCATION (100 Items).pdf,Alin sa mga sumusunod ang isang epiko ng mga Ifugao?,Ibalon at Aslon,Hudhod,Biag ni Lam-ang,Haraya,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
839,2,PART 3 GENERAL EDUCATION (100 Items).pdf,”Nagtaksil si Adrian.” Ibigay ang ayos ng pangungusap na ito.,payak,tambalan,karaniwan,di karaniwan,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
840,2,PART 3 GENERAL EDUCATION (100 Items).pdf,Ito ay ang pag-aaral ng makabuluhang tunog ng isang wika.,Ponolohiya *,Morpolohiya,Sintaks,Palabuuan,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
841,2,PART 3 GENERAL EDUCATION (100 Items).pdf,Siya ang may-akda ng nobelang “Banaag at Sikat”?,Jose dela Cruz,Lope K. Santos,Jose Corazon de Jesus,Emilio Jacinto,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
842,2,PART 3 GENERAL EDUCATION (100 Items).pdf,Isang awiting bayan na tungkol sa pakikipagkaibigan ang _____ .,sambotani,salagintok,daeleng,oyayi,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
843,2,PART 3 GENERAL EDUCATION (100 Items).pdf,Siya ay si “Dolores Manapat”.,Graciano Lopez Jaena,N.V.M. Gonzalez,Andres Bonifacio,Marcelo H. del Pilar,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
844,2,PART 3 GENERAL EDUCATION (100 Items).pdf,The process of comparing one quantity with corresponding standard is called ______ .,Measurement,Formulation,Interpolation,Extrapolation,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
845,2,PART 3 GENERAL EDUCATION (100 Items).pdf,Matter is anything that has ______.,Weight and volume,Mass and volume,Weight and mass,Mass and shape,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
846,2,PART 3 GENERAL EDUCATION (100 Items).pdf,"A student walks from home to school 3 blocks away and then returns home for lunch. After lunch, he goes back to school. His total displacement is _______ .",0 block,3 block,6 blocks,9 blocks,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
847,2,PART 3 GENERAL EDUCATION (100 Items).pdf,"What property of matter is involved in the sign, “Fasten Your Seat Belt”?",Impenetrability,Inertia,Acceleration,Interaction,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
848,2,PART 3 GENERAL EDUCATION (100 Items).pdf,Which of the following situations is true as a boat moves from salty sea to fresh water river?,It sinks deeper.,It floats higher.,It stays at the same level.,It moves faster.,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
849,2,PART 3 GENERAL EDUCATION (100 Items).pdf,Which of the following is conserved when a pendulum is swinging?,Mass,Momentum,Energy,Weight,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
850,2,PART 3 GENERAL EDUCATION (100 Items).pdf,Which statement best explains why ice is a good refrigerant ?,It cools by evaporation.,It absorbs heat while melting.,It conducts heat quickly.,It does not melt inside the refrigerator.,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
851,2,PART 3 GENERAL EDUCATION (100 Items).pdf,An object becomes positively charge if it _________ .,gains protons,gains electron,loses protons,loses electrons,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
852,2,PART 3 GENERAL EDUCATION (100 Items).pdf,The force that holds the atoms and molecules together to form larger bodies is known as,Gravitational force,Electromagnetic force,Weak nuclear force,Strong nuclear force,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
853,2,PART 3 GENERAL EDUCATION (100 Items).pdf,What is the maximum number of electrons that can be accommodated in n=4?,Gesellschaft,Gemeinchaft,Enculturation,Acculturation,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
854,2,PART 3 GENERAL EDUCATION (100 Items).pdf,"It features the exchange of goods, money and services .",Gesellschaft,Gemeinchaft,Enculturation,Acculturation,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
855,2,PART 3 GENERAL EDUCATION (100 Items).pdf,The longest revolt in the Philippine History is called the ______ .,Dagohoy revolt b .Diego Silang revolt,,Gabriela Silang revolt,Palaris revolt,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
856,3,PART 3 GENERAL EDUCATION (100 Items).pdf,Violation of human rights is a violation of the _____ of persons.,dignity,intelligence,emotions,freedom,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
857,3,PART 3 GENERAL EDUCATION (100 Items).pdf,What is the foundation of genuine peace and reconciliation?,Joy,Confrontation,happinness,Social justice,,D,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
858,3,PART 3 GENERAL EDUCATION (100 Items).pdf,What was our government under the 1935 constitution ?,Revolutionary,Monarchy,Commonwealth,Military,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
859,3,PART 3 GENERAL EDUCATION (100 Items).pdf,What values are being promoted by the Philippine Government when it launched the “Juan Time” project in 2011 ?,Punctuality,Austerity,Palabra de Honor,Close family ties,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
860,3,PART 3 GENERAL EDUCATION (100 Items).pdf,"If you seeing your ways of doing things as the right way and everybody else`s as the wrong way, you tend to have the the attitude called",Cultural relativism,Ethical relativism,Ethnocentrism,Xenophobia,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
861,3,PART 3 GENERAL EDUCATION (100 Items).pdf,"It refers to any liability to pay money arising out of a contract , express or implied .",Poll tax,Tax,Debt,Debtors,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
862,3,PART 3 GENERAL EDUCATION (100 Items).pdf,He coined the term “survival of the fittest.”,August Comte b .Karl Marx,,Herbert Spencer,Arnold Toynbee,,C,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
863,3,PART 3 GENERAL EDUCATION (100 Items).pdf,The biologist who probably first used the term “cell” was ______.,Hooke,Browne,Leeuwenhoek,Schleiden,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
864,3,PART 3 GENERAL EDUCATION (100 Items).pdf,"The following means help in controlling floods , except",Reforestation,Deforestation,Crop rotation,Construction of flood ways,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
865,3,PART 3 GENERAL EDUCATION (100 Items).pdf,Farmers add commercial fertilizers to the soil to ______ .,Speed up the decay of bacteria,Add mineral content,Activate the growth of earthworms,Enhance the growth of the roots,,B,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
866,3,PART 3 GENERAL EDUCATION (100 Items).pdf,What phylum classification is the transmitter of dengue?,Arthropoda,Hemichordate,Echinodermata,Annelida,,A,,Both,General Education,Cannot Determine,No,,Ready for Upload,Shared General Education Part 3 with trailing answer key. Correct answer sourced from trailing answer key.
