No.,Original No.,Page,Source PDF,Source Path,Question,Passage Reference,Question Image Reference,Choice A,Choice A Image Reference,Choice B,Choice B Image Reference,Choice C,Choice C Image Reference,Choice D,Choice D Image Reference,Choice E,Choice E Image Reference,Correct Answer,Explanation,LET Exam Type,Subject Area,Topic,Difficulty,Has Image,Duplicate Of,Confidence,Status,Notes
882,31,2,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,How teacher uphold high standard of the teaching profession? - CONTINUOUSLY IMPROVING THEMSELVES,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
883,32,2,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Colonial Mentality - FOREIGNER SUPERIOR,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
884,33,2,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Learning to know - FACILITATOR,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
885,34,2,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Pattern of acquiring values is based on values are - CAUGHT NOT TAUGHT,,,,,,,,,,,,,,,Both,Professional Education,Ethics,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
886,35,2,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Progressivist - DEWEY,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
887,36,2,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Free movement time allotment - FLEXIBLE,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
888,37,2,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Activities ahead of time - EMERGENCY ACTIVITY/ FILLER,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
889,38,2,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Normal practice followed in the classroom - ROUTINE,,,,,,,,,,,,,,,Both,Professional Education,Classroom Management,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
890,39,2-3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,DECS changes to DepEd - RA 9155 3 | K e y w o r d s i n P R O F E S S I O N A L E D U C A T I O N,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
891,40,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Teacher controlled his off talk giving him direct contact - CLASSROOM MANAGEMENT,,,,,,,,,,,,,,,Both,Professional Education,Classroom Management,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
892,41,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Center of Excellence - CHED,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
893,42,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Integral part of teaching process - CLASSROOM MANAGEMENT,,,,,,,,,,,,,,,Both,Professional Education,Classroom Management,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
894,43,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,BP Blg. 232 SHALL ESTABLISH< MAINTAIN…,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
895,44,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Cluster remote stand-alone school is under one lead school ahead strong influence - GEOGRAPHICAL,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
896,45,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Failure of ended - DEPENDENCE ON HIGHER AUTHORITY,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
897,46,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,President Fidel Ramos - EFA (Education for All),,,,,,,,,,,,,,,Both,Professional Education,Government,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
898,47,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,"Bottom up management style -INVOLVEMENT OF STUDENTS, PARENTS, TEACHER AND COMMUNITY IN SCHOOL",,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
899,48,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,GENDER EQUALITY IN EDUCATION,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
900,49,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Learning to Know - UNDERSTANDING,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
901,50,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,GENDER EQUALITY,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,249,0.52,Duplicate,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently. Duplicate or near-duplicate of row 249.
902,51,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Realia - FEASIBLE,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.27,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
903,52,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Learning to live together-,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
904,53,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Ex. Volcanoes erupted - MOCK -UP,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,251,0.72,Duplicate,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently. Duplicate or near-duplicate of row 251.
905,54,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Topic‖ Discuss Earth - MODEL,,,,,,,,,,,,,,,Both,Professional Education,Earth Science,Cannot Determine,No,252,0.72,Duplicate,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently. Duplicate or near-duplicate of row 252.
906,55,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,With-it-ness-JACOB KOUNIN - AWARE WHAT IS HAPPENING IN THE CLASSROOM,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,253,0.72,Duplicate,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently. Duplicate or near-duplicate of row 253.
907,56,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Orderly Transition- MATERIALS READILY AVAILABLE,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,254,0.72,Duplicate,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently. Duplicate or near-duplicate of row 254.
908,57,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Nearest from the real thing-EDGAR DALE- CONE OF EXPERIENCE - WATCHING DEMO,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,255,0.72,Duplicate,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently. Duplicate or near-duplicate of row 255.
909,58,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Referent power- FEELING OF TRUST AND ACCEPTANCE,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,256,0.72,Duplicate,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently. Duplicate or near-duplicate of row 256.
910,59,3,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,Routine Activities- ESTABLISH ON FIRST DAY OF SCHOOL,,,,,,,,,,,,,,,Both,Professional Education,Classroom Management,Cannot Determine,No,257,0.72,Duplicate,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently. Duplicate or near-duplicate of row 257.
911,60,3-10,PROF_ED_Keyword_1.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_1.pdf,"Low profile classroom technique- MANAGE MISBEHAVIOR 4 | K e y w o r d s i n P R O F E S S I O N A L E D U C A T I O N FOUNDATIONS OF EDUCATION ● John Locke � was an English philosopher and physician ""Father of Liberalism"" ; to form character (mental, physical, and moral) ; Education as Training of the mind/Formal discipline ; Notable ideas - ""Tabula rasa"" ● Francis Bacon � was an English philosopher, statesman, scientist, jurist, orator and author. ""Father of scientific method"" ""Father of empiricism"" ● Jean Jacques Rousseau � was a Francophone Genevan philosopher, writer and composer of the 18th century.""Hollistic education""(physical,moral, intellectual) Notable ideas - moral simplicity of humanity; child centered learning; Famous novel: ""Emile"" or On Education; Human Development ● Edgar Dale � was an American educator who developed the ""Cone of Experience"" aka ""Father of Modern Media in Education"" ● Erik Erikson � was a German-born American developmental psychologist and psychoanalyst known for his theory on ""psychosocial development"" of human beings. ● Johann Heinrich Pestalozzi � was a swiss pedagogue and educational reformer who exemplified Romanticism in his approach. ""Social regeneration of humanity"" Notable ideas: ""Four-sphere concept of life"" his motto was "" Learning by head, hand and heart"" ● Friedrich Frobel � was a German pedagogue a student of Pestalozzi who laid the ""foundation of modern education"" based on the recognition that children have unique needs and capabilities. ""Father of kindergarten"" ● Johann Herbart � was a German philosopher, psychologist and founder of pedagogy as an academic discipline. ● Edward Lee Thorndike � was an American psychologist ; "" Father of Modern educational psychology; connectionism; law of effect. ; ""Realize the fullest satisfaction of human wants"" 5 | K e y w o r d s i n P R O F E S S I O N A L E D U C A T I O N PHILOSOPHICAL FOUNDATIONS OF EDUCATION ● IDEALISM � Plato (own ideas) nothing exist except in the mind of a man/ what we want the world to be ● REALISM � Aristotle;Herbart; Comenius; Pestalozzi; Montessori; Hobbes; Bacon; Locke ▶ (experience) fully mastery of knowledge ● BEHAVIORISM � always guided by standards/by procedure; purpose is to modify the behavior ● EXISTENTIALISM � Kierkegaard; Sartre; ""Man shapes his being as he lives"" ▶Focuses on self/individual ● PRAGMATISM/EXPERIMENTALISM � William James; John Dewey - learn from experiences through interaction to the environment ▶Emphasizes the needs and interests of the children ● PERENNIALISM � Robert Hutchins ▶focuses on unchanging/universal truths ● ESSENTIALISM � William Bagley - teaching the basic/essential knowledge ▶ Focuses on basic skills and knowledge ● PROGRESSIVISM � Dewey/Pestalozzi (process of development) ▶focuses on the whole child and the cultivation of individuality ● CONSTRUCTIVISM �Jean Piaget ▶Focused on how humans make meaning in relation to the interaction b/w their experiences and their ideas. Nature of knowledge w/c represents an epistemological stance. ● SOCIAL RECONSTRUCTIONISM � George Counts - recognized that education was the means of preparing people for creating his new social order ▶highlights social reform as the aim of education ➡ ACCULTURATION - learning other culture; the passing of customs, beliefs and tradition through interaction and reading. ➡ ENCULTURATION - the passing of group's custom, beliefs and traditions from one generation to the next generation ➡ Convergent questions - are those that typically have one correct answer. ➡ Divergent questions - also called open-ended questions are used to encourage many answers and generate greater participation of students. Higher order thinking skills; to think more creatively. ➡ 90 days - enrolled bills becomes a law ➡ 30 days - ""lapse"" 6 | K e y w o r d s i n P R O F E S S I O N A L E D U C A T I O N PRINCIPLES & THEORIES OF LEARNING & MOTIVATION ● Psychosexual Theory/Psychoanalysis - Sigmund Freud ● Psychosocial Theory - Erik Erikson's Theory of Personality ● Ecological Theory - Eric Brofenbrenner's Theory of Development ● Sociohistoric Cognitive Linguistic Theory - Lev Semanovich Vygotsky ● Cognitive Development - Jean Piaget; John Dewey; Jerome Brunner ● Phenomenology - Abraham Maslow; Carl Rogers; Louis Raths ● Behaviorism - Edward Thorndike; Ivan Pavlov; Burrhus Frederick Skinner ● Moral Development - Lawrence Kohlberg ● Ivan Pavlov - classical conditioning ● Edward Thorndike - connectionism ● B.F. Skinner - operant conditioning & reinforcement ● Albert Bandura - ""bobo doll"" experiment; modelling; self eficacy ● David Ausubel - Meaningful Reception Theory ● Jerome Bruner - Discovery Learning Theory/Inquiry method ● Wolfgang Kohler's - Insight Learning Problem ● Richard Atkinson & Richard Shiffrin's - Information Processing Theory ● Robert Gagne's - Cumulative Learning Theory ● Howard Gardner - Multiple Intelligence ● Kurt Lewin's - Field Theory/ his concept of life space ● Brofenbrenner's - Ecological System Theory ● Lev Vygotsky - Social Constructivism; Zond of Proximal Development (ZPD) * gap b/w actual and potential development ● Hilda Taba - Grassroots Approach ● Max Wertheimer - Gestalt Psychology ● Wilhelm Wundt - ""Father of Modern Psychology"" ● William James - wrote the ""Principles of psychology""/ consciousness ● hypothalamus - brain's stress center ● Abraham Maslow - physiological needs; ""Maslow's Hierarchy of Needs"" ; safety&security; love & belongingness; self-esteem; self-actualization ● John",,,,,"Watson - (behaviorist approach) an American psychologist who established the psychological school of behaviorism. ● Queen Elizabeth I - Sometimes called The Virgin Queen, Gloriana or Good Queen Bess, Elizabeth was the last monarch of the House of Tudor. (born September 7, 1533, Greenwich, near London, England-died March 24, 1603, Richmond, Surrey), 7 | K e y w o r d s i n P R O F E S S I O N A L E D U C A T I O N FIGURATIVE LANGUAGE ● Metaphor - is a comparison made b/w things w/c are essentially not alike. Ex: ""Nobody invites Edward to parties because He is a wet blanket"" ● Simile - is like a metaphor and often uses the words ""like"" or ""as"" Ex: ""Jamie runs as fast as the wind"" ● Personification - when something that is not human is given human-like qualities, this is known as personification. Ex: "" The leaves danced in the wind on the cold October afternoon"" ● Hyperbole - exaggerating, often in a humorous way to make a particular point is known as hyperbole. Ex: ""My eyes widened at the sight of the mile-high ice cream cones we we're having for dessert"" ● Onomatopoeia - when you name an action by imitating the sound associated with it. Ex: ""The bees buzz angrily when their hive is disturbed"" ● Idiom - an idiom is an expression used by a particular group of people with a meaning that is only known through common use. Ex: ""I'm just waiting for him to kick the bucket."" ● Synecdoche - a synecdoche is a figure of speech using a word/words that are a part to represent a whole. Ex: referring to credit cards as ""plastic"" is a synecdoche ● Assonance - when you repeat a vowel sound in a phrase, it is an assonance. Ex: ""It's true, I do like Sue."" ● Metonymy - a metonymy is a figure of speech where one thing is replaced w/a word that is closely associated with it such as using ""Washington"" to refer to the United States 8 | K e y w o r d s i n P R O F E S S I O N A L E D U C A T I O N REPUBLIC ACTS ● RA �7836 - Philippine Teacher Professionalization Act of 1994 ● RA �7796 - TESDA Act of 1994 ● Article XIV 1987 Philippine Constitution (Educ.Sci & Tech,Arts,Culture& Sports) �this is the very fundamental legal basis of education in thr philippines. ● Education Act of 1982 (Batas Pambansa 232, Sept 11,1982) �an Act providing for the Establishment & Maintenance of an Integrated System of Education ● RA �4670 - Magna Carta for Public School Teachers (June 18,1966) ● RA �6713 - Code of Conduct & Ethical Standards For Public Officials and Employees ● RA 7877 - Anti-sexual Harrassment Act of 1995 ● RA �9155 - Decentralization; Legal basis of Shared Governance in Basic Education ● RA �7784 - Establishment of Center of Excellence ● RA 10533 or K-12 Curriculum - Enhanced Basic Education Curriculum ● RA �90210 - ""An Act to Integrate Information Technology into the Public Elementary & Secondary Curricula & Appropriating funds ● RA 10121 - DRMM approval headed by OCO office of Civil defense May 2010 ● RA 9994 - ―Expanded Senior Citizens Act of 2003‖, FILIPINO ● Ang panubong - handog sa dalagang may kaarawan (koronang bulaklak) ● Florante at Laura - (awit) ""katiwalian ng mga kastila"" ● Jose dela Cruz - tungkod ng tulang tagalog ● Noli Me Tangere - (Rizal) suliraning panlipunan ng bayan ● ""Doktrina Kristiyana"" - Fr. Domingo de Nieva � unang aklat na nalimbag sa pilipinas ● Severino Reyes - Ama ng dulaang tagalog ● Juan Luna - La Spolarium ● ""Alim"" - pinakamatandang epiko ng pilipinas ● Jose Palma - naglikha ng ""Himno Nacional Filipino"" ● Liwayway - nabigyan ng pagpapahalaga ang sariling wika ● Lope K.Santos - ""Ama ng balarila ng pilipino"" ● Andres Bonifacio - ""anak bayan"" ● Pupdok/Kinting kulirat - hindi kailanman ginamit ni Marcelo del Pilar ● Teodoro Agoncillo - isang kilalang manunulat ng kasaysayan ● Manuel Quezon - Ama ng Wikang Pambansa ● Constancio de Guzman - lumikha ng awit na ""Ang Bayan Ko"" ● Pascual Poblete - Ama ng pahayagang tagalong 9 | K e y w o r d s i n P R O F E S S I O N A L E D U C A T I O N LITERATURE ● Folklore - traditionally derived and orally transmitted literature ● Folktales - reflect the people's beliefs handed down from generation to generation by word of mouth ● Epilogue - conclusion or final part of non-dramatic literary work ● Genre - distinctive type of literary composition such as epic, tragedy, comedy & novel ● ""Quo Vadis"" - means ""where are you going"" ● hieroglyphics - oldest forn of egyptian writing ● Allegory - narrative whose meaning is beneath the surface ● Elegy - a meditated poem of grief ● Sonnet - verse w/14 iambic pentameter lines ● Haiku - Japanese poetry. Haiku poems consist of 3 lines, 17 syllables ● Epic - long poem w/c depicts the adventure of a great hero who reveals his country's aspirations; narrates heroic deeds and supernatural happenings w/local actor in w/c people sing/chant ● Soliloquy - speech made by a person who reveals his thoughts ● Manuel Arcilla - ""How my brother Leon brought home a wife"" ● Washington Irving - ""The Legend of a Sleepy Hollow"" ● Fall of the house of usher - hypochondriac living in morbid fear ● Cyrano de Bergerac - poet & soldier noted for his Peculiar nose ● ""The Illiad of Homer"" - great epic poem whose plot centers around the anger & wrath of Achilles against agamemnon ● ""The Bells"" - ""If eyes are made for seeing, then beauty is its own excuse for being"" ● Cacophony - literary term w/c means harsh & discordant sounds introduced for poetic effect ● George Bernard Shaw - know for his excellence of characterization, swiftness of narrative & clarity of style. ● Edgar Allan Poe - greatest American writer of horror and detective stories ● Rabindranath Tagore - best known for his collection of poems called Gitanjali/song offerings ● Robert Frost - ranked as one of the best modern American poets. ● Geoffrey Chaucer - Morning Star of English Literature ● Mark Twain - ""Samuel Clemens"" ● Harriet Stowe - ""Uncle Tom's Cabin"" ● Charles Darwin - Origin of species ● Lazlo Biro - invented the ball point pen ● Harry Potter - epic kind of story 10 | K e y w o r d s i n P R O F E S S I O N A L E D U C A T I O N VOCABULARY Emulate 〰 imitate Vouchsafe 〰 grant Abeyance 〰 suspended Denigrate 〰 malign Furtive 〰 sneaky Remonstrate 〰protest Corroborate 〰confirm Gullible 〰easily deceived Germane 〰relevant Plebeian 〰common Vulpine 〰cunning Spendthrift 〰spender Impolitic 〰unwise Terse 〰concise Parsimonious 〰stingy Stupefy 〰make numb Pariah 〰outcast Wizened 〰shrivelled Dubious 〰doubtful Incriminates 〰accuse Frivolous 〰worthless Susceptible 〰inclined Impertinent 〰irrelevant Ostracized 〰excluded Conglomeration 〰diffusion Cacophonous 〰loud and unpleasant Carnal 〰worldly Aplomb 〰composure Candor 〰honesty Contemptuous 〰 scornful Feeble 〰 weak Inevitable 〰 certain",,,,,,,,,,Both,Professional Education,Reading Comprehension,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
912,1,9,PROF_ED_Keyword_2.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_2.pdf,"Cognitive Domain - domain of thought >Knowledge- recall of prior learned materials in terms of facts, concepts, theories and principles. >Comprehension- ability to grasp the meaning of material. >Application- ability to used learned material in new and concrete situation. >Analysis- ability to break down material into parts. >Synthesis- ability to put parts together to form a new whole. >Evaluation- ability to pass judgement on something based on given criteria. .",,,,,,,,,,,,,,,Both,Professional Education,Vocabulary,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. No answer key or embedded answer was matched for this item.
913,2,9,PROF_ED_Keyword_2.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_2.pdf,"Affective Domain - domain of valuing, attitude and appreciation. >Receiving- students' willingness to pay attention to classroom activities. >Responding- active participation on the part of the students. >Valuing- concerned with the value attaches to a particular behavior. >Organization- concerned with bringing together different values and building a value system. >Characterization by a value- developing a lifestyle from a value system. .",,,,,,,,,,,,,,,Both,Professional Education,Educational Psychology,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. No answer key or embedded answer was matched for this item.
914,3,9,PROF_ED_Keyword_2.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/PROF_ED_Keyword_2.pdf,Psychomotor Domain - domain of the use of psychomotor attributes. >Perception- use of sense organs to guide motor activities. >Set- refers to the readiness to take a particular type of action. >Guided response- concerned with the early stages in learning complex skills. >Mechanism- responses have become habitual. >Complex overt responses- skillful performance and with complex movement patterns. >Adaptation- skill well developed that the ability to modify is very easy. >Origination- refers to creating new movement patterns to fit the situation. credits to the owner Goodluck future LPTs,,,,,,,,,,,,,,,Both,Professional Education,Needs Review,Cannot Determine,No,,0.47,Incomplete,Path explicitly groups BEED and BSED. No answer key or embedded answer was matched for this item.
915,1,1,SIMULATED_TEST-CURRICULUM_DEVELOPMENT_AND_DEVELOPMENTAL_READING.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/SIMULATED_TEST-CURRICULUM_DEVELOPMENT_AND_DEVELOPMENTAL_READING.pdf,"In the bottom-up perspective, a reader could read a text when he/she",passage_page_01_q1,,uses his prior knowledge to make sense of the text.,,selects only the meaningful segments in the text.,,can translate the visual symbols to their aural equivalent.,,relates the text to other texts previously read.,,,,,,Both,Curriculum Development,Curriculum Models,Cannot Determine,No,,0.72,Needs Answer,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently.
916,2,1,SIMULATED_TEST-CURRICULUM_DEVELOPMENT_AND_DEVELOPMENTAL_READING.pdf,/Users/lyndon/All reviewers/Sept2026_LET Reviewer Files/D. FREEBIES -BEED&BSED-/E. Study Notes 2026/SIMULATED_TEST-CURRICULUM_DEVELOPMENT_AND_DEVELOPMENTAL_READING.pdf,Which of the following reading skills or strategies is the closest to outside-in processing or reading?,,,inferencing,,outlining,,predicting outcomes,,structural analysis,,,,,,Both,Curriculum Development,Curriculum Models,Cannot Determine,No,813,0.72,Duplicate,Path explicitly groups BEED and BSED. Answer key exists in source text but this item was not matched confidently. Duplicate or near-duplicate of row 813.
