No.,Source PDF,Source Path,Original No.,Page,Question,Choice A,Choice B,Choice C,Choice D,Choice E if there is,Correct Answer,Explanation,Exam Type,Subject Category,Topic Slug,Difficulty,Has Image,Image Reference,Image Path,Status,Notes
245,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,4,58-59,numismatist : money,aesthetics : beauty,fetish : obsession,linguist:language,scientist : sense,,C,Correct answer is marked in red in the source PDF: C.,Both,Verbal Ability,word-association,2,No,,,Ready for Upload,Double-Word Analogy.
246,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,5,59,anxious : uneasy,egocentric:self-centered,wary : placid,feeble : strong,scornful : admirable,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. egocentric:self-centered b. c. d.
247,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,6,59,goat : kid,bear : cub,chicken : hen,dog : Dalmatian,tiger : tigress,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. bear : cub b. c. d.
248,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,7,59,key : lock,litter : trash,pestle : pound,table : desk,sword : scabbard,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. c. d. sword : scabbard
249,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,8,59,dog : kennel,whale : pond,socks : feet,pig : sty,eagle : barn,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. c. pig : sty d.
250,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,9,59,book : leaves,house : kitchen,chimney : roof,fan : electricity,chair : sitting,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. house : kitchen b. c. d.
251,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,10,60,panda : china,grizzly : Africa,polar bear : America,Pooh : Disneyland,koala : Australia,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. c. d. koala : Australia
252,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,11,60,jubilant : morose,humble : modest,joyous : happy,simple : lavish,pompous : pretentious,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. c. simple : lavish d.
253,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,12,60,tiny : microscopic,uproar : laughter,large : mammoth,argument : meeting,storm : weather,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. large : mammoth c. d.
254,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,13,60,to smile : to guffaw,to walk : to stroll,to frown : to weep,to munch : to eat,to lift : to carry,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. to frown : to weep c. d.
255,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,14,60,hand : arm,foot : leg,hips : sway,waist : belt,shoulder : neck,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. foot : leg b. c. d.
256,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,15,60-61,pre : post,anti : pro,semi : equi,able : can,demi : half,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. anti : pro b. c. d.
257,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,16,61,auditorium : audience,hall : pictures,movie house : cinema,coliseum : spectators,commuters : transportation,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. c. coliseum : spectators d.
258,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,17,61,Edgar Allan Poe : Annabel Lee,RobertFrost : Medea,Pygmalion : Galatea,Chaucer : Antigone,Shakespeare : Romeo and Juliet,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. c. d. Shakespeare : Romeo and Juliet
259,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,18,61,advise : counsel,lead : direct,loss : lost,peace : piece,want : quality,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. lead : direct b. c. d.
260,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,19,61,perspire : sweat,clouds : rain,cry : tears,fan : wind,sad : lonely,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. cry : tears c. d.
261,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,20,61,extricate : set free,journey : far,liquidate : liquefy,implicate : involve,migrate : stay,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. c. implicate : involve d.
262,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,21,61-62,maggot : fly,caterpilla : leaves,bees : wasp,butterfly : moth,tadpole : frog,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. c. d. tadpole : frog
263,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,22,62,he : him,me : I,they :them,you : yours,her : she,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. they :them c. d.
264,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,23,62,lie : to recline,lay : put down,macabre : beauty,nab : release,quench : to thirst,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. lay : put down b. c. d.
265,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,24,62,igloo : Eskimo,cavemen : cave,palace : kings,destitute:shanty,bees : beehive,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. palace : kings c. d.
266,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,25,62,dictionary : word meanings:,alamanac : synonyms,encyclopedia : word origin,atlas : maps,thesaurus : dinosaurs,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. c. atlas : maps d.
267,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,26,62-63,extemporaneous : rehearsed,live : taped,momentous : important,nefarious : wicked,salubrious : healthful,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. live : taped b. c. d.
268,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,27,63,tavern : bar,inn : hotel,apartment : loft,condominium : office,attic : chimney,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. inn : hotel b. c. d.
269,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,28,63,duchess : duke,count : countess,ewe : ram,gentleman : lady,wizard : witch,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. ewe : ram c. d.
270,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,29,63,dwindle : decrease,defer: act promptly,deny: grant,forge: stop,multiply : increase,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. c. d. multiply : increase
271,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,30,63,prowess : cowardice,adept : skilled,adroit : uncoordinated,garrulous : talkative,hubris : pride,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: b. adroit : uncoordinated c. d.
272,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,31,63,charisma : charismata,deer : deers,bacterium : bacteriums,basis : bases,eight : eighty’s,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. bacterium : bacteriums c. d.
273,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,32,63-64,quintuplet : five,triplet : three quartuplet : four,,doublet : two,sexton : six,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Missing one or more A-D choices. Could not uniquely map red answer text: a. triplet : three b. c. d.
274,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,33,64,attention : attn,approximate:appro,bal : balance,building : bldng,manager : mgr,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. bal : balance c. d.
275,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,34,64,arachnophobia : fear of spiders,hydrophobia : fearofwet objects,claustrophobia : fearofclauses,photophobia : fear of light,xenophobia:fear of sin,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. c. photophobia : fear of light d.
276,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,35,64,unscrew : tighten,remove : restore,relinquish : give up,sensitive : make sensitive,stupefy : make insensible,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. remove : restore b. c. d.
277,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,36,64,verbose : speechless,voracious : greedy,vicious : kind,wanton : lewd,waspish : irritable,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. vicious : kind c. d.
278,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,37,64,COD : cash on delivery,DST : daylight saving time,PO :public office,NA:not appointed,RSVP : pleaseapprove,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. DST : daylight saving time b. c. d.
279,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,38,64-65,adjacent : near,congruent : dissimilar,converge : separate,deliberate : intentional,delude : guide,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. b. c. deliberate : intentional d.
280,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,39,65,firmament : sky,clouds : air,moon : planer,star : gas,soil : groun,,D,Correct answer is marked in red in the source PDF: D.,Both,Verbal Ability,word-association,2,No,,,Ready for Upload,Double-Word Analogy.
281,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,40,65,languid : strong,feeble : active,innocuous : harmless,opportune : timely,truculent : restless,,,,Both,Verbal Ability,word-association,2,No,,,Needs Answer,Double-Word Analogy. Could not uniquely map red answer text: a. feeble : active b. c. d.
282,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,1,76,Lily remarkable poems even at her young age.,rites,rights,writes,write,,,,Both,Verbal Ability,grammar,2,No,,,Needs Answer,Correct Usage. Could not uniquely map red answer text: writes sub_topic:grammar
283,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,2,76,Being too will undoubtedly make other men hate you.,vane,vain,vein,vanity,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
284,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,3,76,"Due to bad weather, the airline company decided postpone the flight.",two,to,too,then,,,,Both,Verbal Ability,grammar,2,No,,,Needs Answer,Correct Usage. Could not uniquely map red answer text: to sub_topic:grammar
285,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,4,76-77,Drunk driving was the reason for accident.,their,they’re,there,there are,,,,Both,Verbal Ability,grammar,2,No,,,Needs Answer,Correct Usage. Could not uniquely map red answer text: a. their b. c. d. sub_topic:grammar
286,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,5,77,MayI your Titanic compact disk?,borrow,lend,loan,cr edi,,,,Both,Verbal Ability,grammar,2,No,,,Needs Answer,Correct Usage. Could not uniquely map red answer text: a. borrow b. c. d. sub_topic:grammar
287,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,6,77,"t the three girls, the eldest is the most diligent.",Between,Among,In,By,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
288,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,7,77,Exposure to air pollution will your asthma.,cure,deteriorate,aggravate,annoy,,C,Correct answer is marked in red in the source PDF: C.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
289,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,8,77,His to Mount Apo was carefully documented.,assent,ascent,descent,decrease,,B,Correct answer is marked in red in the source PDF: B.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
290,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,9,77-78,The children the ill effects of war.,have borne,have born,has borne,had born,,,,Both,Verbal Ability,grammar,2,No,,,Needs Answer,Correct Usage. Could not uniquely map red answer text: have borne sub_topic:grammar
291,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,10,78,The teachers distributed different outlines for the students to follow.,coarse,corps,course,corpse,,C,Correct answer is marked in red in the source PDF: C.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
292,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,11,78,"Carl juggles oranges, you?",why,may,should,can,,D,Correct answer is marked in red in the source PDF: D.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
293,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,12,78,The refugees decided to their homes because of the war.,desert,dessert,deserve,reserve,,A,Correct answer is marked in red in the source PDF: A.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
294,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,13,78,My sister to Zamboanga seven years ago.,migrated,migrating,immigrated,immigrating,,,,Both,Verbal Ability,grammar,2,No,,,Needs Answer,Correct Usage. Could not uniquely map red answer text: immigrated sub_topic:grammar
295,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,14,78,We used sauce for the spahetti last Sunday.,less,few,a number of,pieces of,,A,Correct answer is marked in red in the source PDF: A.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
296,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,15,78-79,"If we work together, we could finish this in a short time.",piece,peace,please,peas,,A,Correct answer is marked in red in the source PDF: A.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
297,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,16,79,"When the Apartheid Policy was still in effect, the Blacks were by the Whites?",praised,hailed,persecuted,prosecuted,,C,Correct answer is marked in red in the source PDF: C.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
298,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,17,79,"When we the flag, we should all stand up.",rice,rise,risen,raise,,D,Correct answer is marked in red in the source PDF: D.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
299,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,18,79,The DPWH crew worked the night to repair the damaged bridge.,thre,through,trough,true,,,,Both,Verbal Ability,grammar,2,No,,,Needs Answer,Correct Usage. Could not uniquely map red answer text: b. through c. d. sub_topic:grammar
300,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,19,79,the leader of your group?,Who’s,Whose,Which,Whom’s,,A,Correct answer is marked in red in the source PDF: A.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
301,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,20,79-80,The village elder told many interesting,tale,tail,tails,tales,,,,Both,Verbal Ability,grammar,2,No,,,Needs Answer,Correct Usage. Could not uniquely map red answer text: tales sub_topic:grammar
302,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,21,80,Marty Evelyn to dinner.,asked – out,asked – after,called – out,called – up,,A,Correct answer is marked in red in the source PDF: A.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
303,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,22,80,The celebrant candles after we sang.,blew off,blew up,blew out,blew over,,C,Correct answer is marked in red in the source PDF: C.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
304,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,23,80,The secretary due to stress.,broke even,broke out,broke in,broke down,,D,Correct answer is marked in red in the source PDF: D.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
305,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,24,80,The Edsa People’s Revolution the Marcos regime.,brought in,brought on,brought forth,brought down,,D,Correct answer is marked in red in the source PDF: D.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
306,Done - Civil Service Exam Reviewer for 2026.pdf,/Users/lyndon/All reviewers/Civil Service Exam/Civil Service Exam Reviewer 2026/CSE EXAMS AND REVIEWER 2026/Done - Civil Service Exam Reviewer for 2026.pdf,25,80,The unexpected of vehicles along Marcos Highway caused heavy traffic.,build up,build on,build in,build over,,A,Correct answer is marked in red in the source PDF: A.,Both,Verbal Ability,grammar,2,No,,,Ready for Upload,Correct Usage. sub_topic:grammar
